Nombre,Frecuencia (MHz),Enlace a TLE,Enlace al tracking,Información adicional
AAUSAT-4,437.450,https://www.n2yo.com/satellite/?s=41460,,
LILACSAT 2,437.210 / 437.205 / 437.200 / 437.195 / 437.190,https://www.n2yo.com/satellite/?s=40908,https://www.n2yo.com/?s=40908,https://www.amsat.org/wordpress/wp-content/uploads/2014/01/LilacSat2_info-20151007.pdf
FIREBIRD 4,437.405 Y 437.230,https://www.n2yo.com/satellite/?s=40378,https://www.n2yo.com/?s=40378,
TIGRISAT,435,https://www.n2yo.com/satellite/?s=40043,https://www.n2yo.com/?s=40043,
STRAND 1,437.568,https://www.n2yo.com/satellite/?s=39090,https://www.n2yo.com/?s=39090,
M-CUBED/EXP-1 PRIME,437.498,https://www.n2yo.com/satellite/?s=37855,https://www.n2yo.com/?s=37855,
DICE 2,460,https://www.n2yo.com/satellite/?s=37852,https://www.n2yo.com/?s=37852,
ITUPSAT 1,437.325,https://www.n2yo.com/satellite/?s=35935,https://www.n2yo.com/?s=35935,Trayectoria directa en el punto
SEEDS,437.485,https://www.n2yo.com/satellite/?s=32791,https://www.n2yo.com/?s=32791,
DELFI C3,145.920,https://www.n2yo.com/satellite/?s=32789,https://www.n2yo.com/?s=32789,
CAPE 1,435.245,https://www.n2yo.com/satellite/?s=31130,https://www.n2yo.com/?s=31130,
CUBESAT XI-V,437.345,https://www.n2yo.com/satellite/?s=28895,https://www.n2yo.com/?s=28895,
CUBESAT XI-IV,437.490,https://www.n2yo.com/satellite/?s=27848,https://www.n2yo.com/?s=27848,
TABLETSAT AURORA,435.550/436.100,https://www.n2yo.com/satellite/?s=40017,https://www.n2yo.com/?s=40017,
GOMX 1,DN 437.250 / BC 437.250,https://www.n2yo.com/satellite/?s=39430,https://www.n2yo.com/?s=39430,
WNISAT 1,DN 467.674,https://www.n2yo.com/satellite/?s=39423,https://www.n2yo.com/?s=39423,
ZACUBE,UP 145.860 / DL 437.355 / BC 14.099,https://www.n2yo.com/satellite/?s=39417,https://www.n2yo.com/?s=39417,
HO OPONOPONO 2,DN 427.220,https://www.n2yo.com/satellite/?s=39403,https://www.n2yo.com/?s=39403,
SOMP,DN 437.485 / BC 437.503,https://www.n2yo.com/satellite/?s=39134,https://www.n2yo.com/?s=39134,
AIST 2,DN 435.215 / BC 435.265,https://www.n2yo.com/satellite/?s=39133,https://www.n2yo.com/?s=39133,inactivo
