Nombre,Frecuencia (MHz),Enlace a TLE,Enlace al tracking,Información adicional
PRATHAM,437.455 telemetria y 145.98 beacon,https://www.n2yo.com/satellite/?s=41783,,
AAUSAT-4,437.450,https://www.n2yo.com/satellite/?s=41460,,
OUFTI-1,435.0 UHF DOWNLINK,https://www.n2yo.com/satellite/?s=41458,,
LILACSAT 2,437.210 / 437.205 / 437.200 / 437.195 / 437.190,https://www.n2yo.com/satellite/?s=40908,https://www.n2yo.com/?s=40908,https://www.amsat.org/wordpress/wp-content/uploads/2014/01/LilacSat2_info-20151007.pdf
FIREBIRD 4,437.405 Y 437.230,https://www.n2yo.com/satellite/?s=40378,https://www.n2yo.com/?s=40378,
AISSAT 2,162.025,https://www.n2yo.com/satellite/?s=40075,https://www.n2yo.com/?s=40075,https://www.n2yo.com/satellite/?s=40075
UKUBE 1,435,https://www.n2yo.com/satellite/?s=40074,https://www.n2yo.com/?s=40074,
AISAT,11140.00,https://www.n2yo.com/satellite/?s=40054,https://www.n2yo.com/?s=40054,
TIGRISAT,435,https://www.n2yo.com/satellite/?s=40043,https://www.n2yo.com/?s=40043,
STRAND 1,437.568,https://www.n2yo.com/satellite/?s=39090,https://www.n2yo.com/?s=39090,
AAUSAT3,437.425,https://www.n2yo.com/satellite/?s=39087,https://www.n2yo.com/?s=39087,
AEROCUBE 4,915,https://www.n2yo.com/satellite/?s=38769,https://www.n2yo.com/?s=38769,
AEROCUBE 4.5A,915,https://www.n2yo.com/satellite/?s=38767,https://www.n2yo.com/?s=38767,
CP5,437.405,https://www.n2yo.com/satellite/?s=38763,https://www.n2yo.com/?s=38763,Alcanza a pasar por muy poco
AENEAS,437.600,https://www.n2yo.com/satellite/?s=38760,https://www.n2yo.com/?s=38760,
M-CUBED/EXP-1 PRIME,437.498,https://www.n2yo.com/satellite/?s=37855,https://www.n2yo.com/?s=37855,
AUBIESAT-1,437.475,https://www.n2yo.com/satellite/?s=37854,https://www.n2yo.com/?s=37854,
RAX-2,437.345,https://www.n2yo.com/satellite/?s=37853,https://www.n2yo.com/?s=37853,
DICE 2,460,https://www.n2yo.com/satellite/?s=37852,https://www.n2yo.com/?s=37852,
DICE 1,460,https://www.n2yo.com/satellite/?s=37851,https://www.n2yo.com/?s=37851,
ITUPSAT 1,437.325,https://www.n2yo.com/satellite/?s=35935,https://www.n2yo.com/?s=35935,Trayectoria directa en el punto
UWE-2,437.385,https://www.n2yo.com/satellite/?s=35934,https://www.n2yo.com/?s=35934,
BEESAT,436.000,https://www.n2yo.com/satellite/?s=35933,https://www.n2yo.com/?s=35933,
SWISSCUBE,437.505,https://www.n2yo.com/satellite/?s=35932,https://www.n2yo.com/?s=35932,
SDS-1,2.242.515,https://www.n2yo.com/satellite/?s=33497,https://www.n2yo.com/?s=33497,
SEEDS,437.485,https://www.n2yo.com/satellite/?s=32791,https://www.n2yo.com/?s=32791,
CANX-2,437.478,https://www.n2yo.com/satellite/?s=32790,https://www.n2yo.com/?s=32790,
DELFI C3,145.920,https://www.n2yo.com/satellite/?s=32789,https://www.n2yo.com/?s=32789,
AEROCUBE 2,928,https://www.n2yo.com/satellite/?s=31133,https://www.n2yo.com/?s=31133,
CP4,437.325,https://www.n2yo.com/satellite/?s=31132,https://www.n2yo.com/?s=31132,
CAPE 1,435.245,https://www.n2yo.com/satellite/?s=31130,https://www.n2yo.com/?s=31130,
LIBERTAD 1,437.405,https://www.n2yo.com/satellite/?s=31128,https://www.n2yo.com/?s=31128,
CSTB 1,400.038,https://www.n2yo.com/satellite/?s=31122,https://www.n2yo.com/?s=31122,
CUBESAT XI-V,437.345,https://www.n2yo.com/satellite/?s=28895,https://www.n2yo.com/?s=28895,
CUBESAT XI-IV,437.490,https://www.n2yo.com/satellite/?s=27848,https://www.n2yo.com/?s=27848,
CANX-1,437.880,https://www.n2yo.com/satellite/?s=27847,https://www.n2yo.com/?s=27847,
DTUSAT,437.475,https://www.n2yo.com/satellite/?s=27842,https://www.n2yo.com/?s=27842,
QB50P2,145.880/145.840,https://www.n2yo.com/satellite/?s=40032,https://www.n2yo.com/?s=40032,Trayectoria directa en el punto
DTUSAT-2,2.401.835,https://www.n2yo.com/satellite/?s=40030,https://www.n2yo.com/?s=40030,
POPSAT HIP 1,437.405,https://www.n2yo.com/satellite/?s=40028,https://www.n2yo.com/?s=40028,
DUCHIFAT-1,145.825/145.980,https://www.n2yo.com/satellite/?s=40021,https://www.n2yo.com/?s=40021,inactivo
TABLETSAT AURORA,435.550/436.100,https://www.n2yo.com/satellite/?s=40017,https://www.n2yo.com/?s=40017,
PUCP-SAT 1,145.82 / 145.840 / RX 437.20,https://www.n2yo.com/satellite/?s=39442,https://www.n2yo.com/?s=39442,
WREN,DN 437.405 / BC 437.405,https://www.n2yo.com/satellite/?s=39435,https://www.n2yo.com/?s=39435,
QUBESCOUT-S1,DN 437.525,https://www.n2yo.com/satellite/?s=39443,https://www.n2yo.com/?s=39443,
BRITE-PL,DN 437.365-2234.400 / BC 145.890,https://www.n2yo.com/satellite/?s=39431,https://www.n2yo.com/?s=39431,
GOMX 1,DN 437.250 / BC 437.250,https://www.n2yo.com/satellite/?s=39430,https://www.n2yo.com/?s=39430,
DELFI-N3XT,UP 435.530-435.570 / DL 145.880-145.920,https://www.n2yo.com/satellite/?s=39428,https://www.n2yo.com/?s=39428,
TRITON 1,UP 435.xxx / DL 145.818/145.823 / BC 2408.000,https://www.n2yo.com/satellite/?s=39427,https://www.n2yo.com/?s=39427,
WNISAT 1,DN 467.674,https://www.n2yo.com/satellite/?s=39423,https://www.n2yo.com/?s=39423,
ZACUBE,UP 145.860 / DL 437.355 / BC 14.099,https://www.n2yo.com/satellite/?s=39417,https://www.n2yo.com/?s=39417,
HO OPONOPONO 2,DN 427.220,https://www.n2yo.com/satellite/?s=39403,https://www.n2yo.com/?s=39403,
CUBEBUG 1,DN 437.445 / BC 437.438,https://www.n2yo.com/satellite/?s=39153,https://www.n2yo.com/?s=39153,
TURKSAT 3U,UP 145.940-145.990 / DL 435.200-435.250 / BC 437.225,https://www.n2yo.com/satellite/?s=39152,https://www.n2yo.com/?s=39152,
NEE 01 PEGASUS,DN 910.000(bandwidth 25MHz),https://www.n2yo.com/satellite/?s=39151,https://www.n2yo.com/?s=39151,
BEESAT-2,DN 435.950 / BC 435.950,https://www.n2yo.com/satellite/?s=39136,https://www.n2yo.com/?s=39136,Alcanza a pasar por muy poco
SOMP,DN 437.485 / BC 437.503,https://www.n2yo.com/satellite/?s=39134,https://www.n2yo.com/?s=39134,
AIST 2,DN 435.215 / BC 435.265,https://www.n2yo.com/satellite/?s=39133,https://www.n2yo.com/?s=39133,inactivo
